"m:0","m:1","m:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.015872,-2.5566e-05,0.99987,1,2.9274e-08,2.9274e-08,1.19e-07,1.52e-07
-0.016114,-2.5904e-05,0.99987,1,2.9512e-08,2.9512e-08,1.19e-07,1.52e-07
-0.016356,-2.6242e-05,0.99987,1,2.975e-08,2.975e-08,1.19e-07,1.52e-07
-0.016597,-2.658e-05,0.99986,1,2.9988e-08,2.9988e-08,1.19e-07,1.52e-07
-0.016875,-2.6981e-05,0.99986,1,3.0226e-08,3.0226e-08,1.19e-07,1.52e-07
-0.017155,-2.7386e-05,0.99985,1,3.0464e-08,3.0464e-08,1.19e-07,1.52e-07
-0.017434,-2.7791e-05,0.99985,1,3.0702e-08,3.0702e-08,1.19e-07,1.52e-07
-0.017714,-2.8197e-05,0.99984,1,3.094e-08,3.094e-08,1.19e-07,1.52e-07
-0.017993,-2.8602e-05,0.99984,1,3.1178e-08,3.1178e-08,1.19e-07,1.52e-07
-0.018273,-2.9007e-05,0.99983,1,3.1416e-08,3.1416e-08,1.19e-07,1.52e-07
-0.018553,-2.9412e-05,0.99983,1,3.1654e-08,3.1654e-08,1.19e-07,1.52e-07
-0.018832,-2.9817e-05,0.99982,1,3.1892e-08,3.1892e-08,1.19e-07,1.52e-07
-0.019138,-3.0267e-05,0.99982,1,3.213e-08,3.213e-08,1.19e-07,1.52e-07
-0.019464,-3.0756e-05,0.99981,1,3.2368e-08,3.2368e-08,1.19e-07,1.52e-07
-0.019791,-3.1244e-05,0.9998,1,3.2606e-08,3.2606e-08,1.19e-07,1.52e-07
-0.020118,-3.1732e-05,0.9998,1,3.2844e-08,3.2844e-08,1.19e-07,1.52e-07
-0.020445,-3.2221e-05,0.99979,1,3.3082e-08,3.3082e-08,1.19e-07,1.52e-07
-0.020771,-3.2709e-05,0.99978,1,3.332e-08,3.332e-08,1.19e-07,1.52e-07
-0.021098,-3.3198e-05,0.99978,1,3.3558e-08,3.3558e-08,1.19e-07,1.52e-07
-0.021425,-3.3686e-05,0.99977,1,3.3796e-08,3.3796e-08,1.19e-07,1.52e-07
-0.02176,-3.4189e-05,0.99976,1,3.4034e-08,3.4034e-08,1.19e-07,1.52e-07
-0.022145,-3.4781e-05,0.99975,1,3.4272e-08,3.4272e-08,1.19e-07,1.52e-07
-0.022531,-3.5374e-05,0.99975,1,3.451e-08,3.451e-08,1.19e-07,1.52e-07
-0.022916,-3.5966e-05,0.99974,1,3.4748e-08,3.4748e-08,1.19e-07,1.52e-07
-0.023301,-3.6558e-05,0.99973,1,3.4986e-08,3.4986e-08,1.19e-07,1.52e-07
-0.023687,-3.7151e-05,0.99972,1,3.5224e-08,3.5224e-08,1.19e-07,1.52e-07
-0.024072,-3.7743e-05,0.99971,1,3.5462e-08,3.5462e-08,1.19e-07,1.52e-07
-0.024457,-3.8335e-05,0.9997,1,3.57e-08,3.57e-08,1.19e-07,1.52e-07
-0.024843,-3.8928e-05,0.99969,1,3.5938e-08,3.5938e-08,1.19e-07,1.52e-07
-0.025282,-3.9616e-05,0.99968,1,3.6176e-08,3.6176e-08,1.19e-07,1.52e-07
-0.02574,-4.0339e-05,0.99967,1,3.6414e-08,3.6414e-08,1.19e-07,1.52e-07
-0.026199,-4.1061e-05,0.99966,1,3.6652e-08,3.6652e-08,1.19e-07,1.52e-07
-0.026657,-4.1784e-05,0.99964,1,3.689e-08,3.689e-08,1.19e-07,1.52e-07
-0.027116,-4.2506e-05,0.99963,1,3.7128e-08,3.7128e-08,1.19e-07,1.52e-07
-0.027574,-4.3229e-05,0.99962,1,3.7366e-08,3.7366e-08,1.19e-07,1.52e-07
-0.028032,-4.3951e-05,0.99961,1,3.7604e-08,3.7604e-08,1.19e-07,1.52e-07
-0.028491,-4.4674e-05,0.99959,1,3.7842e-08,3.7842e-08,1.19e-07,1.52e-07
-0.02898,-4.5452e-05,0.99958,1,3.808e-08,3.808e-08,1.19e-07,1.52e-07
-0.02953,-4.6339e-05,0.99956,1,3.8318e-08,3.8318e-08,1.19e-07,1.52e-07
-0.03008,-4.7226e-05,0.99955,1,3.8556e-08,3.8556e-08,1.19e-07,1.52e-07
-0.03063,-4.8114e-05,0.99953,1,3.8794e-08,3.8794e-08,1.19e-07,1.52e-07
-0.031179,-4.9001e-05,0.99951,1,3.9032e-08,3.9032e-08,1.19e-07,1.52e-07
-0.031729,-4.9888e-05,0.99949,1,3.927e-08,3.927e-08,1.19e-07,1.52e-07
-0.032279,-5.0775e-05,0.99948,1,3.9508e-08,3.9508e-08,1.19e-07,1.52e-07
-0.032829,-5.1662e-05,0.99946,1,3.9746e-08,3.9746e-08,1.19e-07,1.52e-07
-0.033379,-5.255e-05,0.99944,1,3.9984e-08,3.9984e-08,1.19e-07,1.52e-07
-0.034036,-5.3632e-05,0.99942,1,4.0222e-08,4.0222e-08,1.19e-07,1.52e-07
-0.034701,-5.4729e-05,0.99939,1,4.046e-08,4.046e-08,1.19e-07,1.52e-07
-0.035366,-5.5825e-05,0.99937,1,4.0698e-08,4.0698e-08,1.19e-07,1.52e-07
-0.03603,-5.6922e-05,0.99935,1,4.0936e-08,4.0936e-08,1.19e-07,1.52e-07
-0.036695,-5.8018e-05,0.99932,1,4.1174e-08,4.1174e-08,1.19e-07,1.52e-07
-0.03736,-5.9115e-05,0.9993,1,4.1412e-08,4.1412e-08,1.19e-07,1.52e-07
-0.038025,-6.0211e-05,0.99927,1,4.165e-08,4.165e-08,1.19e-07,1.52e-07
-0.03869,-6.1308e-05,0.99925,1,4.1888e-08,4.1888e-08,1.19e-07,1.52e-07
-0.039431,-6.2546e-05,0.99922,1,4.2126e-08,4.2126e-08,1.19e-07,1.52e-07
-0.04024,-6.3911e-05,0.99919,1,4.2364e-08,4.2364e-08,1.19e-07,1.52e-07
-0.04105,-6.5276e-05,0.99915,1,4.2602e-08,4.2602e-08,1.19e-07,1.52e-07
-0.041859,-6.6641e-05,0.99912,1,4.284e-08,4.284e-08,1.19e-07,1.52e-07
-0.042669,-6.8006e-05,0.99908,1,4.3078e-08,4.3078e-08,1.19e-07,1.52e-07
-0.043478,-6.937e-05,0.99905,1,4.3316e-08,4.3316e-08,1.19e-07,1.52e-07
-0.044288,-7.0735e-05,0.99901,1,4.3554e-08,4.3554e-08,1.19e-07,1.52e-07
-0.045097,-7.21e-05,0.99898,1,4.3792e-08,4.3792e-08,1.19e-07,1.52e-07
-0.04593,-7.3508e-05,0.99894,1,4.403e-08,4.403e-08,1.19e-07,1.52e-07
-0.046922,-7.5218e-05,0.99889,1,4.4268e-08,4.4268e-08,1.19e-07,1.52e-07
-0.047914,-7.6927e-05,0.99884,1,4.4506e-08,4.4506e-08,1.19e-07,1.52e-07
-0.048906,-7.8637e-05,0.9988,1,4.4744e-08,4.4744e-08,1.19e-07,1.52e-07
-0.049898,-8.0347e-05,0.99875,1,4.4982e-08,4.4982e-08,1.19e-07,1.52e-07
-0.05089,-8.2056e-05,0.9987,1,4.522e-08,4.522e-08,1.19e-07,1.52e-07
-0.051882,-8.3766e-05,0.99865,1,4.5458e-08,4.5458e-08,1.19e-07,1.52e-07
-0.052874,-8.5475e-05,0.9986,1,4.5696e-08,4.5696e-08,1.19e-07,1.52e-07
-0.053866,-8.7185e-05,0.99855,1,4.5934e-08,4.5934e-08,1.19e-07,1.52e-07
-0.055026,-8.9217e-05,0.99848,1,4.6172e-08,4.6172e-08,1.19e-07,1.52e-07
-0.056249,-9.1372e-05,0.99841,1,4.641e-08,4.641e-08,1.19e-07,1.52e-07
-0.057472,-9.3527e-05,0.99834,1,4.6648e-08,4.6648e-08,1.19e-07,1.52e-07
-0.058695,-9.5683e-05,0.99826,1,4.6886e-08,4.6886e-08,1.19e-07,1.52e-07
-0.059918,-9.7838e-05,0.99819,1,4.7124e-08,4.7124e-08,1.19e-07,1.52e-07
-0.061142,-9.9994e-05,0.99812,1,4.7362e-08,4.7362e-08,1.19e-07,1.52e-07
-0.062365,-0.00010215,0.99804,1,4.76e-08,4.76e-08,1.19e-07,1.52e-07
-0.063588,-0.0001043,0.99797,1,4.7838e-08,4.7838e-08,1.19e-07,1.52e-07
-0.064905,-0.00010664,0.99789,1,4.8076e-08,4.8076e-08,1.19e-07,1.52e-07
-0.066421,-0.00010938,0.99778,1,4.8314e-08,4.8314e-08,1.19e-07,1.52e-07
-0.067937,-0.00011211,0.99767,1,4.8552e-08,4.8552e-08,1.19e-07,1.52e-07
-0.069453,-0.00011485,0.99757,1,4.879e-08,4.879e-08,1.19e-07,1.52e-07
-0.070969,-0.00011758,0.99746,1,4.9028e-08,4.9028e-08,1.19e-07,1.52e-07
-0.072485,-0.00012032,0.99735,1,4.9266e-08,4.9266e-08,1.19e-07,1.52e-07
-0.074002,-0.00012305,0.99724,1,4.9504e-08,4.9504e-08,1.19e-07,1.52e-07
-0.075518,-0.00012579,0.99713,1,4.9742e-08,4.9742e-08,1.19e-07,1.52e-07
-0.077034,-0.00012852,0.99703,1,4.998e-08,4.998e-08,1.19e-07,1.52e-07
-0.07889,-0.00013195,0.99687,1,5.0218e-08,5.0218e-08,1.19e-07,1.52e-07
-0.080778,-0.00013544,0.99671,1,5.0456e-08,5.0456e-08,1.19e-07,1.52e-07
-0.082666,-0.00013893,0.99655,1,5.0694e-08,5.0694e-08,1.19e-07,1.52e-07
-0.084554,-0.00014242,0.99639,1,5.0932e-08,5.0932e-08,1.19e-07,1.52e-07
-0.086441,-0.00014591,0.99623,1,5.117e-08,5.117e-08,1.19e-07,1.52e-07
-0.088329,-0.0001494,0.99606,1,5.1408e-08,5.1408e-08,1.19e-07,1.52e-07
-0.090217,-0.00015289,0.9959,1,5.1646e-08,5.1646e-08,1.19e-07,1.52e-07
-0.092105,-0.00015638,0.99574,1,5.1884e-08,5.1884e-08,1.19e-07,1.52e-07
-0.094234,-0.00016038,0.99554,1,5.2122e-08,5.2122e-08,1.19e-07,1.52e-07
-0.096593,-0.00016485,0.99529,1,5.236e-08,5.236e-08,1.19e-07,1.52e-07
-0.098953,-0.00016933,0.99505,1,5.2598e-08,5.2598e-08,1.19e-07,1.52e-07
-0.10131,-0.00017381,0.9948,1,5.2836e-08,5.2836e-08,1.19e-07,1.52e-07
-0.10367,-0.00017829,0.99456,1,5.3074e-08,5.3074e-08,1.19e-07,1.52e-07
-0.10603,-0.00018276,0.99432,1,5.3312e-08,5.3312e-08,1.19e-07,1.52e-07
-0.10839,-0.00018724,0.99407,1,5.355e-08,5.355e-08,1.19e-07,1.52e-07
-0.11075,-0.00019172,0.99383,1,5.3788e-08,5.3788e-08,1.19e-07,1.52e-07
-0.11317,-0.00019634,0.99357,1,5.4026e-08,5.4026e-08,1.19e-07,1.52e-07
