"B_demag.region2:0","B_demag.region2:1","B_demag.region2:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-6.5644e-11,-2.8589e-05,-0.00027322,1,6.435e-09,1.275e-07,1.0643e-07,1.96e-07
-6.5963e-11,-2.855e-05,-0.00027313,1,6.49e-09,1.275e-07,1.0649e-07,1.96e-07
-6.6282e-11,-2.8512e-05,-0.00027305,1,6.545e-09,1.275e-07,1.0654e-07,1.96e-07
-6.6601e-11,-2.8474e-05,-0.00027296,1,6.6e-09,1.275e-07,1.066e-07,1.96e-07
-6.692e-11,-2.8436e-05,-0.00027287,1,6.655e-09,1.275e-07,1.0665e-07,1.96e-07
-6.7238e-11,-2.8398e-05,-0.00027278,1,6.71e-09,1.275e-07,1.0671e-07,1.96e-07
-6.7557e-11,-2.836e-05,-0.0002727,1,6.765e-09,1.275e-07,1.0676e-07,1.96e-07
-6.7876e-11,-2.8321e-05,-0.00027261,1,6.82e-09,1.275e-07,1.0682e-07,1.96e-07
-6.8195e-11,-2.8283e-05,-0.00027252,1,6.875e-09,1.275e-07,1.0687e-07,1.96e-07
-6.8513e-11,-2.8245e-05,-0.00027243,1,6.93e-09,1.275e-07,1.0693e-07,1.96e-07
-6.8832e-11,-2.8207e-05,-0.00027235,1,6.985e-09,1.275e-07,1.0698e-07,1.96e-07
-6.9148e-11,-2.8166e-05,-0.00027226,1,7.04e-09,1.275e-07,1.0704e-07,1.96e-07
-6.9464e-11,-2.8123e-05,-0.00027217,1,7.095e-09,1.275e-07,1.0709e-07,1.96e-07
-6.9779e-11,-2.8081e-05,-0.00027209,1,7.15e-09,1.275e-07,1.0715e-07,1.96e-07
-7.0095e-11,-2.8039e-05,-0.000272,1,7.205e-09,1.275e-07,1.072e-07,1.96e-07
-7.041e-11,-2.7997e-05,-0.00027192,1,7.26e-09,1.275e-07,1.0726e-07,1.96e-07
-7.0726e-11,-2.7954e-05,-0.00027183,1,7.315e-09,1.275e-07,1.0731e-07,1.96e-07
-7.1041e-11,-2.7912e-05,-0.00027174,1,7.37e-09,1.275e-07,1.0737e-07,1.96e-07
-7.1356e-11,-2.787e-05,-0.00027166,1,7.425e-09,1.275e-07,1.0742e-07,1.96e-07
-7.1672e-11,-2.7828e-05,-0.00027157,1,7.48e-09,1.275e-07,1.0748e-07,1.96e-07
-7.1987e-11,-2.7785e-05,-0.00027148,1,7.535e-09,1.275e-07,1.0753e-07,1.96e-07
-7.2303e-11,-2.7743e-05,-0.0002714,1,7.59e-09,1.275e-07,1.0759e-07,1.96e-07
-7.2618e-11,-2.7701e-05,-0.00027131,1,7.645e-09,1.275e-07,1.0764e-07,1.96e-07
-7.2934e-11,-2.7659e-05,-0.00027123,1,7.7e-09,1.275e-07,1.077e-07,1.96e-07
-7.3249e-11,-2.7616e-05,-0.00027114,1,7.755e-09,1.275e-07,1.0775e-07,1.96e-07
-7.3564e-11,-2.7574e-05,-0.00027105,1,7.81e-09,1.275e-07,1.0781e-07,1.96e-07
-7.388e-11,-2.7532e-05,-0.00027097,1,7.865e-09,1.275e-07,1.0786e-07,1.96e-07
-7.4195e-11,-2.7489e-05,-0.00027088,1,7.92e-09,1.275e-07,1.0792e-07,1.96e-07
-7.4511e-11,-2.7447e-05,-0.0002708,1,7.975e-09,1.275e-07,1.0797e-07,1.96e-07
-7.4839e-11,-2.7403e-05,-0.00027071,1,8.03e-09,1.275e-07,1.0803e-07,1.96e-07
-7.5177e-11,-2.7356e-05,-0.00027063,1,8.085e-09,1.275e-07,1.0808e-07,1.96e-07
-7.5516e-11,-2.731e-05,-0.00027054,1,8.14e-09,1.275e-07,1.0814e-07,1.96e-07
-7.5855e-11,-2.7264e-05,-0.00027046,1,8.195e-09,1.275e-07,1.0819e-07,1.96e-07
-7.6193e-11,-2.7217e-05,-0.00027037,1,8.25e-09,1.275e-07,1.0825e-07,1.96e-07
-7.6532e-11,-2.7171e-05,-0.00027029,1,8.305e-09,1.275e-07,1.083e-07,1.96e-07
-7.687e-11,-2.7124e-05,-0.0002702,1,8.36e-09,1.275e-07,1.0836e-07,1.96e-07
-7.7209e-11,-2.7078e-05,-0.00027012,1,8.415e-09,1.275e-07,1.0841e-07,1.96e-07
-7.7548e-11,-2.7032e-05,-0.00027003,1,8.47e-09,1.275e-07,1.0847e-07,1.96e-07
-7.7886e-11,-2.6985e-05,-0.00026995,1,8.525e-09,1.275e-07,1.0852e-07,1.96e-07
-7.8225e-11,-2.6939e-05,-0.00026986,1,8.58e-09,1.275e-07,1.0858e-07,1.96e-07
-7.8563e-11,-2.6893e-05,-0.00026978,1,8.635e-09,1.275e-07,1.0863e-07,1.96e-07
-7.8902e-11,-2.6846e-05,-0.00026969,1,8.69e-09,1.275e-07,1.0869e-07,1.96e-07
-7.9241e-11,-2.68e-05,-0.00026961,1,8.745e-09,1.275e-07,1.0874e-07,1.96e-07
-7.9579e-11,-2.6753e-05,-0.00026953,1,8.8e-09,1.275e-07,1.088e-07,1.96e-07
-7.9918e-11,-2.6707e-05,-0.00026944,1,8.855e-09,1.275e-07,1.0885e-07,1.96e-07
-8.0256e-11,-2.6661e-05,-0.00026936,1,8.91e-09,1.275e-07,1.0891e-07,1.96e-07
-8.0595e-11,-2.6614e-05,-0.00026927,1,8.965e-09,1.275e-07,1.0896e-07,1.96e-07
-8.0851e-11,-2.6566e-05,-0.00026919,1,9.02e-09,1.275e-07,1.0902e-07,1.96e-07
-8.0963e-11,-2.6516e-05,-0.00026911,1,9.075e-09,1.275e-07,1.0907e-07,1.96e-07
-8.1074e-11,-2.6465e-05,-0.00026902,1,9.13e-09,1.275e-07,1.0913e-07,1.96e-07
-8.1186e-11,-2.6415e-05,-0.00026894,1,9.185e-09,1.275e-07,1.0918e-07,1.96e-07
-8.1298e-11,-2.6364e-05,-0.00026886,1,9.24e-09,1.275e-07,1.0924e-07,1.96e-07
-8.1409e-11,-2.6314e-05,-0.00026877,1,9.295e-09,1.275e-07,1.0929e-07,1.96e-07
-8.1521e-11,-2.6263e-05,-0.00026869,1,9.35e-09,1.275e-07,1.0935e-07,1.96e-07
-8.1633e-11,-2.6213e-05,-0.00026861,1,9.405e-09,1.275e-07,1.094e-07,1.96e-07
-8.1744e-11,-2.6163e-05,-0.00026853,1,9.46e-09,1.275e-07,1.0946e-07,1.96e-07
-8.1856e-11,-2.6112e-05,-0.00026844,1,9.515e-09,1.275e-07,1.0951e-07,1.96e-07
-8.1968e-11,-2.6062e-05,-0.00026836,1,9.57e-09,1.275e-07,1.0957e-07,1.96e-07
-8.2079e-11,-2.6011e-05,-0.00026828,1,9.625e-09,1.275e-07,1.0962e-07,1.96e-07
-8.2191e-11,-2.5961e-05,-0.0002682,1,9.68e-09,1.275e-07,1.0968e-07,1.96e-07
-8.2303e-11,-2.591e-05,-0.00026811,1,9.735e-09,1.275e-07,1.0973e-07,1.96e-07
-8.2414e-11,-2.586e-05,-0.00026803,1,9.79e-09,1.275e-07,1.0979e-07,1.96e-07
-8.2526e-11,-2.5809e-05,-0.00026795,1,9.845e-09,1.275e-07,1.0984e-07,1.96e-07
-8.2638e-11,-2.5759e-05,-0.00026787,1,9.9e-09,1.275e-07,1.099e-07,1.96e-07
-8.2749e-11,-2.5708e-05,-0.00026778,1,9.955e-09,1.275e-07,1.0995e-07,1.96e-07
-8.2854e-11,-2.5657e-05,-0.0002677,1,1.001e-08,1.275e-07,1.1001e-07,1.96e-07
-8.2926e-11,-2.5602e-05,-0.00026762,1,1.0065e-08,1.275e-07,1.1006e-07,1.96e-07
-8.2998e-11,-2.5548e-05,-0.00026754,1,1.012e-08,1.275e-07,1.1012e-07,1.96e-07
-8.307e-11,-2.5493e-05,-0.00026746,1,1.0175e-08,1.275e-07,1.1017e-07,1.96e-07
-8.3143e-11,-2.5439e-05,-0.00026738,1,1.023e-08,1.275e-07,1.1023e-07,1.96e-07
-8.3215e-11,-2.5384e-05,-0.0002673,1,1.0285e-08,1.275e-07,1.1028e-07,1.96e-07
-8.3287e-11,-2.533e-05,-0.00026722,1,1.034e-08,1.275e-07,1.1034e-07,1.96e-07
-8.3359e-11,-2.5275e-05,-0.00026714,1,1.0395e-08,1.275e-07,1.1039e-07,1.96e-07
-8.3431e-11,-2.5221e-05,-0.00026706,1,1.045e-08,1.275e-07,1.1045e-07,1.96e-07
-8.3504e-11,-2.5166e-05,-0.00026698,1,1.0505e-08,1.275e-07,1.105e-07,1.96e-07
-8.3576e-11,-2.5111e-05,-0.0002669,1,1.056e-08,1.275e-07,1.1056e-07,1.96e-07
-8.3648e-11,-2.5057e-05,-0.00026682,1,1.0615e-08,1.275e-07,1.1061e-07,1.96e-07
-8.372e-11,-2.5002e-05,-0.00026674,1,1.067e-08,1.275e-07,1.1067e-07,1.96e-07
-8.3793e-11,-2.4948e-05,-0.00026666,1,1.0725e-08,1.275e-07,1.1072e-07,1.96e-07
-8.3865e-11,-2.4893e-05,-0.00026657,1,1.078e-08,1.275e-07,1.1078e-07,1.96e-07
-8.3937e-11,-2.4839e-05,-0.00026649,1,1.0835e-08,1.275e-07,1.1083e-07,1.96e-07
-8.4009e-11,-2.4784e-05,-0.00026641,1,1.089e-08,1.275e-07,1.1089e-07,1.96e-07
-8.4081e-11,-2.473e-05,-0.00026633,1,1.0945e-08,1.275e-07,1.1094e-07,1.96e-07
-8.4154e-11,-2.4675e-05,-0.00026625,1,1.1e-08,1.275e-07,1.11e-07,1.96e-07
-8.4155e-11,-2.4616e-05,-0.00026618,1,1.1055e-08,1.275e-07,1.1105e-07,1.96e-07
-8.4157e-11,-2.4558e-05,-0.0002661,1,1.111e-08,1.275e-07,1.1111e-07,1.96e-07
-8.4158e-11,-2.4499e-05,-0.00026602,1,1.1165e-08,1.275e-07,1.1116e-07,1.96e-07
-8.416e-11,-2.4441e-05,-0.00026594,1,1.122e-08,1.275e-07,1.1122e-07,1.96e-07
-8.4161e-11,-2.4382e-05,-0.00026586,1,1.1275e-08,1.275e-07,1.1127e-07,1.96e-07
-8.4163e-11,-2.4324e-05,-0.00026579,1,1.133e-08,1.275e-07,1.1133e-07,1.96e-07
-8.4164e-11,-2.4265e-05,-0.00026571,1,1.1385e-08,1.275e-07,1.1138e-07,1.96e-07
-8.4166e-11,-2.4206e-05,-0.00026563,1,1.144e-08,1.275e-07,1.1144e-07,1.96e-07
-8.4167e-11,-2.4148e-05,-0.00026555,1,1.1495e-08,1.275e-07,1.1149e-07,1.96e-07
-8.4169e-11,-2.4089e-05,-0.00026548,1,1.155e-08,1.275e-07,1.1155e-07,1.96e-07
-8.417e-11,-2.4031e-05,-0.0002654,1,1.1605e-08,1.275e-07,1.116e-07,1.96e-07
-8.4172e-11,-2.3972e-05,-0.00026532,1,1.166e-08,1.275e-07,1.1166e-07,1.96e-07
-8.4173e-11,-2.3913e-05,-0.00026524,1,1.1715e-08,1.275e-07,1.1171e-07,1.96e-07
-8.4175e-11,-2.3855e-05,-0.00026516,1,1.177e-08,1.275e-07,1.1177e-07,1.96e-07
-8.4176e-11,-2.3796e-05,-0.00026509,1,1.1825e-08,1.275e-07,1.1182e-07,1.96e-07
-8.4178e-11,-2.3738e-05,-0.00026501,1,1.188e-08,1.275e-07,1.1188e-07,1.96e-07
-8.4179e-11,-2.3679e-05,-0.00026493,1,1.1935e-08,1.275e-07,1.1193e-07,1.96e-07
-8.4181e-11,-2.3621e-05,-0.00026485,1,1.199e-08,1.275e-07,1.1199e-07,1.96e-07
-8.3941e-11,-2.3559e-05,-0.00026478,1,1.2045e-08,1.275e-07,1.1204e-07,1.96e-07
-8.3648e-11,-2.3496e-05,-0.0002647,1,1.21e-08,1.275e-07,1.121e-07,1.96e-07
-8.3356e-11,-2.3434e-05,-0.00026463,1,1.2155e-08,1.275e-07,1.1215e-07,1.96e-07
-8.3063e-11,-2.3371e-05,-0.00026455,1,1.221e-08,1.275e-07,1.1221e-07,1.96e-07
-8.277e-11,-2.3309e-05,-0.00026448,1,1.2265e-08,1.275e-07,1.1226e-07,1.96e-07
-8.2477e-11,-2.3246e-05,-0.0002644,1,1.232e-08,1.275e-07,1.1232e-07,1.96e-07
-8.2184e-11,-2.3184e-05,-0.00026433,1,1.2375e-08,1.275e-07,1.1237e-07,1.96e-07
-8.1892e-11,-2.3121e-05,-0.00026425,1,1.243e-08,1.275e-07,1.1243e-07,1.96e-07
-8.1599e-11,-2.3059e-05,-0.00026418,1,1.2485e-08,1.275e-07,1.1248e-07,1.96e-07
-8.1306e-11,-2.2996e-05,-0.0002641,1,1.254e-08,1.275e-07,1.1254e-07,1.96e-07
-8.1013e-11,-2.2934e-05,-0.00026403,1,1.2595e-08,1.275e-07,1.1259e-07,1.96e-07
-8.072e-11,-2.2871e-05,-0.00026395,1,1.265e-08,1.275e-07,1.1265e-07,1.96e-07
-8.0428e-11,-2.2809e-05,-0.00026388,1,1.2705e-08,1.275e-07,1.127e-07,1.96e-07
-8.0135e-11,-2.2746e-05,-0.0002638,1,1.276e-08,1.275e-07,1.1276e-07,1.96e-07
-7.9842e-11,-2.2684e-05,-0.00026373,1,1.2815e-08,1.275e-07,1.1281e-07,1.96e-07
-7.9549e-11,-2.2621e-05,-0.00026365,1,1.287e-08,1.275e-07,1.1287e-07,1.96e-07
-7.9256e-11,-2.2559e-05,-0.00026358,1,1.2925e-08,1.275e-07,1.1292e-07,1.96e-07
-7.8964e-11,-2.2496e-05,-0.0002635,1,1.298e-08,1.275e-07,1.1298e-07,1.96e-07
-7.853e-11,-2.2431e-05,-0.00026343,1,1.3035e-08,1.275e-07,1.1303e-07,1.96e-07
-7.8016e-11,-2.2365e-05,-0.00026336,1,1.309e-08,1.275e-07,1.1309e-07,1.96e-07
-7.7503e-11,-2.2299e-05,-0.00026329,1,1.3145e-08,1.275e-07,1.1314e-07,1.96e-07
-7.6989e-11,-2.2232e-05,-0.00026322,1,1.32e-08,1.275e-07,1.132e-07,1.96e-07
-7.6475e-11,-2.2166e-05,-0.00026315,1,1.3255e-08,1.275e-07,1.1325e-07,1.96e-07
-7.5962e-11,-2.2099e-05,-0.00026307,1,1.331e-08,1.275e-07,1.1331e-07,1.96e-07
-7.5448e-11,-2.2033e-05,-0.000263,1,1.3365e-08,1.275e-07,1.1336e-07,1.96e-07
-7.4934e-11,-2.1967e-05,-0.00026293,1,1.342e-08,1.275e-07,1.1342e-07,1.96e-07
-7.4421e-11,-2.19e-05,-0.00026286,1,1.3475e-08,1.275e-07,1.1347e-07,1.96e-07
