"B_demag.region2:0","B_demag.region2:1","B_demag.region2:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-2.5469e-11,1.0329e-05,-0.00032438,1,5.1e-08,1.275e-07,5.1e-08,6.4e-08
-2.4187e-11,1.0398e-05,-0.00032433,1,5.1255e-08,1.275e-07,5.1255e-08,6.4e-08
-2.2904e-11,1.0467e-05,-0.00032427,1,5.151e-08,1.275e-07,5.151e-08,6.4e-08
-2.1621e-11,1.0536e-05,-0.00032421,1,5.1765e-08,1.275e-07,5.1765e-08,6.4e-08
-2.0329e-11,1.0604e-05,-0.00032415,1,5.202e-08,1.275e-07,5.202e-08,6.4e-08
-1.8931e-11,1.0674e-05,-0.00032409,1,5.2275e-08,1.275e-07,5.2275e-08,6.4e-08
-1.7533e-11,1.0743e-05,-0.00032403,1,5.253e-08,1.275e-07,5.253e-08,6.4e-08
-1.6134e-11,1.0813e-05,-0.00032396,1,5.2785e-08,1.275e-07,5.2785e-08,6.4e-08
-1.4801e-11,1.0882e-05,-0.0003239,1,5.304e-08,1.275e-07,5.304e-08,6.4e-08
-1.3818e-11,1.0952e-05,-0.00032384,1,5.3295e-08,1.275e-07,5.3295e-08,6.4e-08
-1.2835e-11,1.1022e-05,-0.00032377,1,5.355e-08,1.275e-07,5.355e-08,6.4e-08
-1.1852e-11,1.1093e-05,-0.00032371,1,5.3805e-08,1.275e-07,5.3805e-08,6.4e-08
-1.0867e-11,1.1163e-05,-0.00032364,1,5.406e-08,1.275e-07,5.406e-08,6.4e-08
-9.8783e-12,1.1233e-05,-0.00032358,1,5.4315e-08,1.275e-07,5.4315e-08,6.4e-08
-8.8892e-12,1.1304e-05,-0.00032351,1,5.457e-08,1.275e-07,5.457e-08,6.4e-08
-7.9001e-12,1.1375e-05,-0.00032344,1,5.4825e-08,1.275e-07,5.4825e-08,6.4e-08
-6.9623e-12,1.1445e-05,-0.00032338,1,5.508e-08,1.275e-07,5.508e-08,6.4e-08
-6.1366e-12,1.1516e-05,-0.00032331,1,5.5335e-08,1.275e-07,5.5335e-08,6.4e-08
-5.311e-12,1.1588e-05,-0.00032324,1,5.559e-08,1.275e-07,5.559e-08,6.4e-08
-4.4854e-12,1.1659e-05,-0.00032317,1,5.5845e-08,1.275e-07,5.5845e-08,6.4e-08
-3.7e-12,1.173e-05,-0.00032309,1,5.61e-08,1.275e-07,5.61e-08,6.4e-08
-2.9771e-12,1.1802e-05,-0.00032302,1,5.6355e-08,1.275e-07,5.6355e-08,6.4e-08
-2.2542e-12,1.1873e-05,-0.00032295,1,5.661e-08,1.275e-07,5.661e-08,6.4e-08
-1.5313e-12,1.1945e-05,-0.00032288,1,5.6865e-08,1.275e-07,5.6865e-08,6.4e-08
-1.0004e-12,1.2017e-05,-0.0003228,1,5.712e-08,1.275e-07,5.712e-08,6.4e-08
-6.8557e-13,1.2089e-05,-0.00032273,1,5.7375e-08,1.275e-07,5.7375e-08,6.4e-08
-3.7072e-13,1.2161e-05,-0.00032265,1,5.763e-08,1.275e-07,5.763e-08,6.4e-08
-5.5879e-14,1.2233e-05,-0.00032257,1,5.7885e-08,1.275e-07,5.7885e-08,6.4e-08
2.0205e-13,1.2305e-05,-0.0003225,1,5.814e-08,1.275e-07,5.814e-08,6.4e-08
4.1323e-13,1.2377e-05,-0.00032242,1,5.8395e-08,1.275e-07,5.8395e-08,6.4e-08
6.2441e-13,1.245e-05,-0.00032234,1,5.865e-08,1.275e-07,5.865e-08,6.4e-08
8.3559e-13,1.2522e-05,-0.00032226,1,5.8905e-08,1.275e-07,5.8905e-08,6.4e-08
9.675e-13,1.2594e-05,-0.00032218,1,5.916e-08,1.275e-07,5.916e-08,6.4e-08
1.0524e-12,1.2667e-05,-0.00032209,1,5.9415e-08,1.275e-07,5.9415e-08,6.4e-08
1.1372e-12,1.274e-05,-0.00032201,1,5.967e-08,1.275e-07,5.967e-08,6.4e-08
1.2221e-12,1.2812e-05,-0.00032193,1,5.9925e-08,1.275e-07,5.9925e-08,6.4e-08
1.2113e-12,1.2885e-05,-0.00032185,1,6.018e-08,1.275e-07,6.018e-08,6.4e-08
1.1608e-12,1.2958e-05,-0.00032176,1,6.0435e-08,1.275e-07,6.0435e-08,6.4e-08
1.1103e-12,1.303e-05,-0.00032167,1,6.069e-08,1.275e-07,6.069e-08,6.4e-08
1.0597e-12,1.3103e-05,-0.00032159,1,6.0945e-08,1.275e-07,6.0945e-08,6.4e-08
7.1326e-13,1.3176e-05,-0.0003215,1,6.12e-08,1.275e-07,6.12e-08,6.4e-08
2.8542e-13,1.3249e-05,-0.00032141,1,6.1455e-08,1.275e-07,6.1455e-08,6.4e-08
-1.4242e-13,1.3322e-05,-0.00032132,1,6.171e-08,1.275e-07,6.171e-08,6.4e-08
-5.7025e-13,1.3395e-05,-0.00032123,1,6.1965e-08,1.275e-07,6.1965e-08,6.4e-08
